member_id,join_date,tier,city,age,gender,acquisition_channel,preferred_channel,transaction_count,total_spend,avg_basket_value,total_points_earned,total_points_redeemed,last_transaction_date,coupon_redemptions,referral_count,membership_status,preferred_category,app_installed,email_opt_in,sms_opt_in,points_unredeemed,high_value_flag,days_since_last_txn,churn_signal,redemp_rate,liability_flag,engagement_score
UM100014,2022-12-27 00:00:00,Gold,Bengaluru,59,Male,Referral,Omnichannel,16,193827,12114.19,19382,0,2026-06-08 00:00:00,2,3,Active,Beauty,f,t,t,19382,0,22,0,0.00,1,3.56
UM100015,2025-01-25 00:00:00,Silver,Jaipur,55,Other,Campaign,Omnichannel,6,29460,4910,2946,1743,2025-07-27 00:00:00,2,4,Churn Risk,Electronics,t,t,t,1203,0,338,1,59.16,0,3.67
UM100016,2026-05-24 00:00:00,Silver,Lucknow,53,Female,QR Scan,Offline,3,33030,11010,3303,1665,2026-06-30 00:00:00,8,0,Dormant,Beauty,t,t,t,1638,0,0,0,50.41,0,2.83
UM100017,2026-04-05 00:00:00,Silver,Jaipur,52,Female,Referral,Offline,2,42142,21071,4214,3258,2026-06-15 00:00:00,8,2,Active,Beauty,f,t,t,956,1,15,0,77.31,0,4.11
UM100018,2026-01-04 00:00:00,Silver,Pune,60,Female,Mobile App,Online,4,15938,3984.5,1593,475,2026-06-30 00:00:00,2,3,Churn Risk,Beauty,f,t,f,1118,0,0,0,29.82,0,2.89
UM100019,2025-02-28 00:00:00,Silver,Chandigarh,41,Male,Website,Omnichannel,3,35790,11930,3579,1817,2026-06-08 00:00:00,7,3,Active,Grocery,t,t,t,1762,0,22,0,50.77,0,4.50
UM100020,2025-02-18 00:00:00,Silver,Mumbai,70,Female,Campaign,Offline,2,19820,9910,1982,463,2026-01-09 00:00:00,8,4,Dormant,Lifestyle,f,t,t,1519,0,172,1,23.36,0,5.44
UM100021,2024-01-12 00:00:00,Gold,Bengaluru,34,Male,Campaign,Offline,10,73217,7321.7,7321,0,2026-05-28 00:00:00,5,4,Churn Risk,Kids,f,t,t,7321,0,33,0,0.00,1,4.89
UM100022,2025-01-29 00:00:00,Silver,Kochi,31,Female,Campaign,Omnichannel,2,5301,2650.5,530,374,2026-06-07 00:00:00,10,1,Active,Home & Kitchen,t,t,t,156,0,23,0,70.57,0,4.11
UM100023,2023-08-01 00:00:00,Silver,Delhi,52,Female,Referral,Online,4,18100,4525,1810,1512,2026-06-16 00:00:00,3,1,Active,Sports,t,f,f,298,0,14,0,83.54,0,1.89
UM100024,2024-06-20 00:00:00,Silver,Kolkata,23,Other,QR Scan,Online,1,2934,2934,293,94,2026-06-30 00:00:00,8,5,Active,Home & Kitchen,t,t,t,199,0,0,0,32.08,0,6.06
UM100025,2024-11-28 00:00:00,Silver,Bengaluru,31,Female,Mobile App,Offline,8,25864,3233,2586,399,2026-01-24 00:00:00,5,3,Churn Risk,Fashion,t,t,t,2187,0,157,1,15.43,0,4.11
UM100027,2022-12-12 00:00:00,Silver,Kochi,66,Other,Referral,Offline,3,35618,11872.67,3561,2426,2026-06-15 00:00:00,10,4,Active,Beauty,t,t,t,1135,0,15,0,68.13,0,6.17
UM100028,2023-11-20 00:00:00,Silver,Kolkata,65,Other,Referral,Offline,1,43040,43040,4304,443,2026-06-29 00:00:00,10,4,Active,Fashion,f,t,f,3861,1,1,0,10.29,0,6.06
UM100029,2025-04-07 00:00:00,Silver,Hyderabad,67,Male,Referral,Omnichannel,4,32168,8042,3216,0,2026-02-04 00:00:00,10,1,Churn Risk,Fashion,t,t,t,3216,0,146,1,0.00,0,4.22
UM100030,2022-12-07 00:00:00,Gold,Chennai,49,Female,Credit Card Partner,Omnichannel,6,177349,29558.17,17734,3403,2026-01-10 00:00:00,4,3,Dormant,Lifestyle,t,t,f,14331,1,171,1,19.19,0,3.67
UM100031,2025-12-08 00:00:00,Silver,Chennai,31,Male,Store,Omnichannel,8,32079,4009.88,3207,2160,2025-12-15 00:00:00,1,1,Churn Risk,Home & Kitchen,f,t,f,1047,0,197,1,67.35,0,1.44
UM100032,2025-10-14 00:00:00,Silver,Chennai,61,Female,Campaign,Online,6,59419,9903.17,5941,0,2026-06-16 00:00:00,2,3,Active,Sports,t,t,t,5941,0,14,0,0.00,1,3.00
UM100033,2024-03-08 00:00:00,Silver,Pune,55,Male,Website,Online,2,48728,24364,4872,753,2026-06-04 00:00:00,4,0,Active,Home & Kitchen,t,f,t,4119,1,26,0,15.46,0,1.44
UM100034,2024-12-04 00:00:00,Silver,Hyderabad,53,Male,Credit Card Partner,Offline,7,14441,2063,1444,963,2025-09-21 00:00:00,0,5,Churn Risk,Kids,t,t,t,481,0,282,1,66.69,0,3.72
UM100035,2026-02-21 00:00:00,Silver,Ahmedabad,37,Female,Referral,Omnichannel,3,29188,9729.33,2918,1356,2026-06-24 00:00:00,6,0,Active,Electronics,t,t,t,1562,0,6,0,46.47,0,2.17
UM100036,2025-03-08 00:00:00,Silver,Jaipur,29,Female,Referral,Offline,8,51758,6469.75,5175,0,2026-06-29 00:00:00,5,1,Active,Sports,t,t,f,5175,0,1,0,0.00,1,2.78
UM100037,2024-04-08 00:00:00,Platinum,Kolkata,41,Male,Credit Card Partner,Omnichannel,48,391683,8160.06,39168,5949,2026-06-13 00:00:00,8,5,Active,Beauty,t,f,t,33219,0,17,0,15.19,0,8.67
UM100038,2023-12-30 00:00:00,Gold,Ahmedabad,18,Male,Campaign,Omnichannel,19,58452,3076.42,5845,4461,2025-10-24 00:00:00,7,3,Churn Risk,Beauty,f,t,t,1384,0,249,1,76.32,0,5.39
UM100039,2022-10-15 00:00:00,Gold,Mumbai,59,Other,Website,Offline,7,60366,8623.71,6036,2508,2026-06-22 00:00:00,10,,Dormant,Kids,f,t,t,3528,0,8,0,41.55,0,3.72
UM100040,2025-05-05 00:00:00,Silver,Lucknow,35,Female,Credit Card Partner,Offline,7,53805,7686.43,5380,0,2026-06-17 00:00:00,7,4,Active,Beauty,t,t,t,5380,0,13,0,0.00,1,5.39
UM100041,2026-02-08 00:00:00,Gold,Chennai,41,Male,Campaign,Offline,9,226806,25200.67,22680,10697,2026-06-18 00:00:00,5,,Active,Kids,t,t,t,11983,1,12,0,47.16,0,2.17
UM100042,2023-08-03 00:00:00,Silver,Kochi,36,Male,Referral,Online,2,15134,7567,1513,604,2026-06-03 00:00:00,9,1,Active,Beauty,t,f,t,909,0,27,0,39.92,0,3.78
UM100043,2024-03-18 00:00:00,Gold,Bengaluru,46,Other,Website,Omnichannel,9,87201,9689,8720,0,2026-06-19 00:00:00,1,0,Active,Electronics,t,t,f,8720,0,11,0,0.00,1,0.83
UM100044,2026-03-28 00:00:00,Platinum,Ahmedabad,23,Female,Campaign,Offline,39,423905,10869.36,42390,11379,2026-06-23 00:00:00,8,1,Active,Kids,t,f,f,31011,0,7,0,26.84,0,5.50
UM100045,2026-02-21 00:00:00,Silver,Mumbai,33,Other,QR Scan,Online,8,37489,4686.12,3748,2317,2026-06-18 00:00:00,0,3,Active,Grocery,t,f,t,1431,0,12,0,61.82,0,2.44
UM100046,2026-01-24 00:00:00,Silver,Kochi,37,Male,Credit Card Partner,Omnichannel,6,23952,3992,2395,1706,2026-04-22 00:00:00,10,0,Dormant,Grocery,f,t,f,689,0,69,0,71.23,0,3.67
UM100047,2025-01-03 00:00:00,Silver,Kolkata,70,Other,QR Scan,Offline,7,10697,1528.14,1069,0,2026-01-27 00:00:00,9,1,Churn Risk,Sports,f,t,f,1069,0,154,1,0.00,0,4.06
UM100048,2023-07-19 00:00:00,Gold,Mumbai,28,Female,Store,Offline,12,156890,13074.17,15689,9460,2026-04-09 00:00:00,4,4,Dormant,Fashion,t,t,f,6229,0,82,0,60.30,0,4.67
UM100049,2025-02-07 00:00:00,Silver,Bengaluru,67,Female,Website,Online,3,42652,14217.33,4265,3595,2026-05-31 00:00:00,9,2,Dormant,Sports,t,t,t,670,0,30,0,84.29,0,4.50
UM100050,2025-02-04 00:00:00,Silver,Hyderabad,59,Male,Credit Card Partner,Online,3,14337,4779,1433,646,2026-06-24 00:00:00,0,0,Active,Grocery,t,f,f,787,0,6,0,45.08,0,0.17
UM100051,2024-10-08 00:00:00,Silver,Delhi,73,Male,Campaign,Omnichannel,4,14423,3605.75,1442,0,2026-06-15 00:00:00,4,5,Active,Grocery,t,t,t,1442,0,15,0,0.00,0,4.89
UM100052,2024-05-07 00:00:00,Silver,Delhi,44,Other,Website,Offline,6,15367,2561.17,1536,569,2026-04-09 00:00:00,9,2,Dormant,Fashion,t,t,t,967,0,82,0,37.04,0,4.67
UM100053,2025-11-06 00:00:00,Silver,Kolkata,35,Female,Website,Omnichannel,7,12128,1732.57,1212,0,2026-06-09 00:00:00,4,3,Active,Grocery,t,t,t,1212,0,21,0,0.00,0,3.72
UM100054,2024-05-17 00:00:00,Silver,Delhi,43,Other,Website,Online,4,15347,3836.75,1534,1020,2026-06-29 00:00:00,2,1,Active,Grocery,t,t,f,514,0,1,0,66.49,0,1.56
UM100055,2023-03-16 00:00:00,Silver,Mumbai,42,Female,QR Scan,Offline,6,13251,2208.5,1325,483,2026-05-07 00:00:00,4,1,Churn Risk,Grocery,f,t,t,842,0,54,0,36.45,0,2.33
UM100056,2025-12-07 00:00:00,Gold,Kolkata,20,Female,Referral,Offline,16,156033,9752.06,15603,9308,2026-06-25 00:00:00,6,2,Active,Fashion,t,f,f,6295,0,5,0,59.66,0,4.22
UM100057,2023-04-07 00:00:00,Silver,Delhi,44,Female,Referral,Offline,1,9715,9715,971,739,2026-01-16 00:00:00,6,3,Dormant,Sports,t,t,t,232,0,165,1,76.11,0,4.06
UM100058,2023-10-23 00:00:00,Gold,Ahmedabad,40,Female,Website,Offline,13,170137,13087.46,17013,8260,2026-06-27 00:00:00,7,4,Active,Grocery,t,t,f,8753,0,3,0,48.55,0,5.72
UM100059,2023-07-20 00:00:00,Silver,Kochi,64,Other,QR Scan,Offline,2,26763,13381.5,2676,0,2026-06-12 00:00:00,3,1,Active,Lifestyle,t,f,f,2676,0,18,0,0.00,0,1.78
UM100060,2025-03-06 00:00:00,Gold,Kochi,75,Female,Mobile App,Online,19,248227,13064.58,24822,0,2026-02-11 00:00:00,8,3,Churn Risk,Beauty,t,t,t,24822,0,139,1,0.00,1,5.72
UM100061,2025-04-20 00:00:00,Silver,Delhi,25,Other,Store,Omnichannel,3,43718,14572.67,4371,1128,2026-04-25 00:00:00,5,3,Dormant,Fashion,t,t,f,3243,0,66,0,25.81,0,3.83
UM100062,2024-12-06 00:00:00,Platinum,Pune,65,Male,Website,Omnichannel,51,423449,8302.92,42344,33219,2026-06-12 00:00:00,4,2,Active,Sports,f,t,t,9125,0,18,0,78.45,0,5.50
UM100064,2023-10-03 00:00:00,Silver,Lucknow,68,Female,Campaign,Online,3,54527,18175.67,5452,1066,2026-01-12 00:00:00,0,0,Dormant,Sports,t,t,t,4386,1,169,1,19.55,0,0.17
UM100065,2023-08-27 00:00:00,Silver,Kochi,21,Male,Store,Omnichannel,4,4883,1220.75,488,0,2026-06-26 00:00:00,8,5,Active,Beauty,t,t,t,488,0,4,0,0.00,0,6.22
UM100066,2022-10-27 00:00:00,Silver,Chandigarh,63,Other,Store,Online,7,13445,1920.71,1344,0,2026-03-01 00:00:00,6,5,Dormant,Lifestyle,t,t,t,1344,0,121,1,0.00,0,5.72
UM100067,2025-02-11 00:00:00,Silver,Chennai,45,Other,QR Scan,Omnichannel,1,51129,51129,5112,1600,2026-01-09 00:00:00,4,2,Dormant,Beauty,t,t,t,3512,1,172,1,31.30,0,2.72
UM100068,2025-04-12 00:00:00,Silver,Kochi,62,Other,QR Scan,Omnichannel,3,14578,4859.33,1457,922,2025-08-13 00:00:00,7,3,Churn Risk,Grocery,f,t,f,535,0,321,1,63.28,0,4.50
UM100069,2025-03-24 00:00:00,Gold,Chennai,57,Male,Website,Offline,15,198164,13210.93,19816,0,2026-06-28 00:00:00,0,0,Active,Grocery,t,t,t,19816,0,2,0,0.00,1,0.83
UM100070,2026-02-26 00:00:00,Silver,Kochi,42,Male,Mobile App,Offline,2,51923,25961.5,5192,1059,2026-06-30 00:00:00,3,0,Churn Risk,Grocery,t,f,f,4133,1,0,0,20.40,0,1.11
UM100071,2022-11-16 00:00:00,Gold,Mumbai,34,Male,Website,Online,13,75653,5819.46,7565,0,2026-06-18 00:00:00,4,0,Active,Sports,f,t,t,7565,0,12,0,0.00,1,2.06
UM100072,2022-12-13 00:00:00,Silver,Chennai,52,Other,Mobile App,Omnichannel,1,4047,4047,404,217,2026-06-30 00:00:00,1,4,Active,Home & Kitchen,t,t,t,187,0,0,0,53.71,0,3.06
UM100073,2026-05-24 00:00:00,Platinum,Delhi,50,Female,Referral,Offline,21,346741,16511.48,34674,22883,2026-06-05 00:00:00,4,,Active,Beauty,t,t,t,11791,0,25,0,65.99,0,2.50
UM100074,2022-07-05 00:00:00,Silver,Ahmedabad,45,Other,Store,Online,2,25305,12652.5,2530,2079,2026-05-18 00:00:00,3,2,Churn Risk,Home & Kitchen,t,t,t,451,0,43,0,82.17,0,2.44
UM100075,2023-11-01 00:00:00,Gold,Hyderabad,27,Female,Credit Card Partner,Omnichannel,14,230678,16477,23067,13725,2026-02-18 00:00:00,5,1,Dormant,Lifestyle,t,t,t,9342,0,132,1,59.50,0,3.11
UM100076,2023-10-29 00:00:00,Silver,Pune,64,Female,Referral,Omnichannel,4,19529,4882.25,1952,0,2026-06-24 00:00:00,5,1,Active,Beauty,t,t,f,1952,0,6,0,0.00,0,2.56
UM100077,2025-06-29 00:00:00,Gold,Mumbai,58,Male,Website,Offline,9,88880,9875.56,8888,4450,2026-06-28 00:00:00,6,3,Active,Grocery,t,f,t,4438,0,2,0,50.07,0,4.50
UM100078,2022-11-14 00:00:00,Silver,Jaipur,62,Other,Referral,Omnichannel,5,11293,2258.6,1129,117,2026-03-13 00:00:00,10,3,Dormant,Beauty,f,t,f,1012,0,109,1,10.36,0,5.61
UM100079,2023-02-22 00:00:00,Gold,Kochi,75,Female,Mobile App,Online,16,82562,5160.12,8256,2953,2026-06-06 00:00:00,10,1,Dormant,Home & Kitchen,f,t,t,5303,0,24,0,35.77,0,4.89
UM100080,2022-08-19 00:00:00,Silver,Jaipur,34,Other,Mobile App,Offline,3,23499,7833,2349,2093,2026-06-12 00:00:00,3,4,Churn Risk,Sports,t,t,t,256,0,18,0,89.10,0,3.83
UM100081,2023-07-19 00:00:00,Gold,Ahmedabad,29,Female,Referral,Offline,16,139876,8742.25,13987,8884,2026-06-10 00:00:00,9,2,Active,Grocery,t,t,t,5103,0,20,0,63.52,0,5.22
UM100082,2024-01-22 00:00:00,Silver,Kolkata,47,Male,Mobile App,Offline,6,9160,1526.67,916,630,2025-12-13 00:00:00,1,5,Churn Risk,Beauty,t,t,t,286,0,199,1,68.78,0,4.00
UM100083,2022-09-06 00:00:00,Silver,Pune,68,Male,Website,Omnichannel,7,51800,7400,5180,0,2026-04-02 00:00:00,6,5,Dormant,Home & Kitchen,f,t,t,5180,0,89,0,0.00,1,5.72
UM100084,2024-05-29 00:00:00,Gold,Chennai,41,Male,Website,Online,16,175711,10981.94,17571,12198,2026-06-03 00:00:00,0,0,Active,Sports,f,t,f,5373,0,27,0,69.42,0,0.89
UM100085,2026-05-02 00:00:00,Gold,Lucknow,29,Female,Website,Offline,9,126806,14089.56,12680,10745,2026-06-24 00:00:00,3,3,Active,Electronics,t,t,f,1935,0,6,0,84.74,0,3.50
UM100086,2023-05-05 00:00:00,Silver,Chandigarh,74,Male,Referral,Offline,5,47402,9480.4,4740,0,2026-01-11 00:00:00,4,3,Dormant,Beauty,f,t,t,4740,0,170,1,0.00,0,3.61
UM100087,2025-08-10 00:00:00,Silver,Ahmedabad,47,Other,Referral,Online,8,12788,1598.5,1278,140,2026-06-21 00:00:00,10,2,Active,Lifestyle,t,t,f,1138,0,9,0,10.95,0,5.11
UM100088,2022-11-05 00:00:00,Silver,Bengaluru,69,Male,Referral,Online,6,3869,644.83,386,0,2026-04-08 00:00:00,7,1,Dormant,Grocery,t,t,t,386,0,83,0,0.00,0,3.33
UM100089,2024-05-13 00:00:00,Silver,Chandigarh,70,Female,Website,Online,6,38315,6385.83,3831,2113,2026-06-30 00:00:00,7,3,Active,Sports,t,t,t,1718,0,0,0,55.16,0,4.67
UM100090,2023-08-28 00:00:00,Silver,Chandigarh,68,Male,Campaign,Omnichannel,2,22781,11390.5,2278,0,2026-05-18 00:00:00,8,3,Churn Risk,Grocery,t,t,t,2278,0,43,0,0.00,0,4.78
UM100091,2022-09-23 00:00:00,Silver,Lucknow,56,Other,Store,Offline,1,37628,37628,3762,2943,2026-01-06 00:00:00,0,5,Dormant,Lifestyle,t,t,t,819,1,175,1,78.23,0,3.39
UM100092,2025-11-07 00:00:00,Silver,Kolkata,38,Male,Campaign,Omnichannel,1,53546,53546,5354,3009,2026-06-30 00:00:00,10,4,Active,Grocery,t,t,f,2345,1,0,0,56.20,0,6.06
UM100093,2023-03-11 00:00:00,Platinum,Kolkata,53,Male,Store,Omnichannel,19,452974,23840.74,45297,14706,2026-06-18 00:00:00,7,1,Active,Electronics,t,t,t,30591,1,12,0,32.47,0,4.06
UM100094,2025-12-03 00:00:00,Gold,Mumbai,65,Male,Store,Online,19,173818,9148.32,17381,11060,2026-06-08 00:00:00,2,5,Active,Fashion,t,t,t,6321,0,22,0,63.63,0,5.06
UM100096,2025-08-09 00:00:00,Gold,Bengaluru,39,Female,Website,Offline,11,215073,19552.09,21507,16985,2025-09-14 00:00:00,9,5,Churn Risk,Sports,f,t,t,4522,1,289,1,78.97,0,6.94
UM100097,2024-09-07 00:00:00,Silver,Lucknow,62,Male,Website,Online,7,26685,3812.14,2668,1225,2026-04-20 00:00:00,4,3,Dormant,Electronics,t,f,f,1443,0,71,0,45.91,0,3.72
UM100098,2025-08-17 00:00:00,Silver,Chennai,30,Other,Mobile App,Online,3,46868,15622.67,4686,2679,2026-03-26 00:00:00,9,0,Dormant,Kids,t,t,t,2007,0,96,1,57.17,0,3.17
UM100099,2024-04-04 00:00:00,Platinum,Delhi,74,Other,Website,Online,20,282836,14141.8,28283,21820,2026-06-23 00:00:00,8,4,Active,Beauty,t,t,t,6463,0,7,0,77.15,0,6.44
UM100100,2024-05-19 00:00:00,Gold,Chennai,73,Male,Website,Omnichannel,12,89061,7421.75,8906,0,2025-12-22 00:00:00,7,0,Churn Risk,Electronics,t,t,t,8906,0,190,1,0.00,1,3.00
UM100101,2025-11-21 00:00:00,Gold,Delhi,45,Male,Campaign,Omnichannel,9,203802,22644.67,20380,0,2026-02-08 00:00:00,9,1,Churn Risk,Home & Kitchen,f,t,f,20380,1,142,1,0.00,1,4.17
UM100102,2026-04-06 00:00:00,Silver,Mumbai,43,Male,Credit Card Partner,Offline,1,26224,26224,2622,524,2026-06-30 00:00:00,4,2,Churn Risk,Beauty,t,f,t,2098,1,0,0,19.98,0,2.72
UM100103,2023-11-26 00:00:00,Silver,Bengaluru,21,Other,Store,Offline,3,49232,16410.67,4923,0,2026-06-20 00:00:00,4,4,Active,Lifestyle,t,t,f,4923,0,10,0,0.00,0,4.17
UM100104,2024-09-28 00:00:00,Silver,Chandigarh,42,Male,Campaign,Offline,8,8908,1113.5,890,488,2026-06-16 00:00:00,2,5,Active,Grocery,t,f,f,402,0,14,0,54.83,0,4.44
UM100105,2025-12-24 00:00:00,Silver,Hyderabad,22,Female,Website,Online,6,53007,8834.5,5300,3684,2026-01-22 00:00:00,3,3,Dormant,Fashion,t,t,t,1616,0,159,1,69.51,0,3.33
UM100106,2023-11-20 00:00:00,Silver,Bengaluru,36,Female,QR Scan,Offline,3,19458,6486,1945,246,2026-06-05 00:00:00,4,3,Active,Fashion,t,f,t,1699,0,25,0,12.65,0,3.50
UM100107,2022-11-17 00:00:00,Silver,Delhi,34,Male,Mobile App,Offline,4,56741,14185.25,5674,2218,2025-11-22 00:00:00,6,2,Churn Risk,Kids,f,t,f,3456,0,220,1,39.09,0,3.56
UM100108,2022-10-30 00:00:00,Silver,Bengaluru,36,Male,Website,Online,1,24341,24341,2434,1860,2026-02-17 00:00:00,0,3,Dormant,Beauty,t,t,f,574,1,133,1,76.42,0,2.06
UM100109,2025-06-07 00:00:00,Silver,Hyderabad,57,Other,Credit Card Partner,Omnichannel,4,56327,14081.75,5632,2806,2026-06-27 00:00:00,3,4,Active,Home & Kitchen,t,t,f,2826,0,3,0,49.82,0,3.89
UM100110,2026-02-08 00:00:00,Silver,Kochi,48,Male,QR Scan,Omnichannel,6,57175,9529.17,5717,0,2026-06-07 00:00:00,4,1,Active,Electronics,t,f,t,5717,0,23,0,0.00,1,2.33
UM100111,2023-03-12 00:00:00,Gold,Pune,67,Other,QR Scan,Online,11,185168,16833.45,18516,0,2026-04-10 00:00:00,9,0,Dormant,Home & Kitchen,f,f,t,18516,0,81,0,0.00,1,3.61
UM100112,2023-06-11 00:00:00,Silver,Delhi,53,Male,Store,Offline,3,7805,2601.67,780,0,2026-06-23 00:00:00,3,2,Active,Grocery,f,t,t,780,0,7,0,0.00,0,2.50
UM100113,2023-12-05 00:00:00,Silver,Kochi,66,Female,Store,Offline,2,48995,24497.5,4899,2393,2026-06-15 00:00:00,1,3,Active,Electronics,t,t,t,2506,1,15,0,48.85,0,2.44
UM100114,2023-10-29 00:00:00,Gold,Lucknow,21,Female,Website,Online,8,151907,18988.38,15190,11395,2026-06-19 00:00:00,3,2,Active,Kids,f,t,f,3795,1,11,0,75.02,0,2.78
UM100115,2023-04-09 00:00:00,Silver,Kolkata,41,Male,Referral,Offline,1,11609,11609,1160,548,2026-06-29 00:00:00,1,2,Dormant,Kids,t,t,t,612,0,1,0,47.24,0,1.72
UM100116,2023-11-15 00:00:00,Silver,Kolkata,69,Male,Referral,Offline,1,4252,4252,425,361,2026-06-14 00:00:00,4,0,Active,Grocery,t,f,t,64,0,16,0,84.94,0,1.39
UM100117,2022-10-14 00:00:00,Silver,Pune,46,Male,Referral,Offline,3,40947,13649,4094,0,2026-05-25 00:00:00,4,3,Dormant,Home & Kitchen,t,t,f,4094,0,36,0,0.00,0,3.50
UM100118,2022-12-30 00:00:00,Silver,Ahmedabad,48,Female,Store,Offline,4,15185,3796.25,1518,1273,2026-06-16 00:00:00,5,1,Active,Beauty,t,t,t,245,0,14,0,83.86,0,2.56
UM100119,2025-07-04 00:00:00,Silver,Pune,19,Male,Referral,Offline,4,23330,5832.5,2333,675,2026-06-07 00:00:00,9,2,Active,Lifestyle,f,t,f,1658,0,23,0,28.93,0,4.56
UM100120,2025-10-21 00:00:00,Silver,Kochi,72,Female,QR Scan,Omnichannel,4,29312,7328,2931,0,2026-06-12 00:00:00,1,5,Active,Lifestyle,t,t,t,2931,0,18,0,0.00,0,3.89
UM100121,2024-02-07 00:00:00,Gold,Bengaluru,27,Female,QR Scan,Online,6,194165,32360.83,19416,0,2026-06-13 00:00:00,9,4,Active,Fashion,t,t,t,19416,1,17,0,0.00,1,6.00
UM100122,2024-10-10 00:00:00,Gold,Pune,42,Female,Website,Offline,12,206085,17173.75,20608,2281,2026-02-24 00:00:00,8,2,Dormant,Electronics,t,t,t,18327,1,126,1,11.07,0,4.67
